book_title,authors,description,cover_img,page_count,category,location,book_format,ratings
Gray's Anatomy,Susan Standring,"Susan Standring, MBE, PhD, DSc, FKC, Hon FAS, Hon FRCS Trust Gray's. Building on over 160 years of anatomical excellence In 1858, Drs Henry Gray and Henry Vandyke Carter created a book for their surgical colleagues that established an enduring standard among anatomical texts. After more than 160 years of continuous publication, Gray's Anatomy remains the definitive, comprehensive reference on the subject, offering ready access to the information you need to ensure safe, effective practice. This 42nd edition has been meticulously revised and updated throughout, reflecting the very latest understanding of clinical anatomy from the world's leading clinicians and biomedical scientists. The book's acclaimed, lavish art programme and clear text has been further enhanced, while major advances in imaging techniques and the new insights they bring are fully captured in state of the art X-ray, CT, MR and ultrasonic images. The accompanying eBook version is richly enhanced with additional content and media, covering all the body regions, cell biology, development and embryogenesis – and now includes two new systems-orientated chapters. This combines to unlock a whole new level of related information and interactivity, in keeping with the spirit of innovation that has characterised Gray's Anatomy since its inception. - Each chapter has been edited by international leaders in their field, ensuring access to the very latest evidence-based information on topics - Over 150 new radiology images, offering the very latest X-ray, multiplanar CT and MR perspectives, including state-of-the-art cinematic rendering - The downloadable Expert Consult eBook version included with your (print) purchase allows you to easily search all of the text, figures, references and videos from the book on a variety of devices - Electronic enhancements include additional text, tables, illustrations, labelled imaging and videos, as well as 21 specially commissioned 'Commentaries' on new and emerging topics related to anatomy - Now featuring two extensive electronic chapters providing full coverage of the peripheral nervous system and the vascular and lymphatic systems. The result is a more complete, practical and engaging resource than ever before, which will prove invaluable to all clinicians who require an accurate, in-depth knowledge of anatomy.",https://covers.openlibrary.org/b/id/5370619-L.jpg,2602.0,Medicine and Surgery,"Federal University of Technology, Akure",soft_copy,4
Schwartz's Principles of Surgery,Not Specified,"A Handbook of Critical Approaches to Literature, Sixth Edition, offers a valuable combination of theory and practice, introducing and applying the most useful contemporary approaches. Thoroughly updated and revised for this edition, the text presents a variety of ways to interpret a work,ranging from historical/biographical and moral/philosophical to feminisms and cultural studies. It applies these diverse approaches to the same six classic works - ""To His Coy Mistress,"" ""Young Goodman Brown,"" ""Everyday Use,"" Hamlet, Huckleberry Finn, and Frankenstein-showing how each approachproduces different types of insights.",http://books.google.com/books/content?id=NY1PAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.0,Medicine and Surgery,Lead City University,soft_copy,3
Robbins & Cotran Pathologic Basis of Disease,Not Specified,"Readable and highly illustrated, Robbins and Cotran Pathologic Basis of Disease, South Asia Edition presents an in-depth, state-of-the-art overview of human diseases and their cellular and molecular basis. This best-selling text delivers the latest, most essential pathology knowledge in a readable, interesting manner, ensuring optimal understanding of the latest basic science and clinical content. More than 1,000 high-quality photographs and full-color illustrations highlight new information in molecular biology, disease classifications, new drugs and drug therapies, and much more - Provides uniquely authoritative and readable coverage, ideal for USMLE or specialty board preparation, as well as for coursework. - Covers the hot topics you need to know about, including novel therapies for hepatitis C, classification of lymphomas, unfolded protein response, non-apoptotic pathways of cell death, coronavirus infections, liquid biopsy for cancer detection, regulation of iron absorption, clonal hematopoiesis and atherosclerosis, thrombotic microangiopathies, heparin-induced thrombocytopenias, inflammatory myopathies, genetic tools for treatment of cystic fibrosis, and many more. - Uses an outstanding full-color, user-friendly design to simplify your study and quickly direct you to the information you need to know, with learning features such as boldface overviews at the beginning of each section, key concepts boxes, suggested readings, schematic diagrams that illustrate complex concepts, and new gross and microscopic figures for clarity of morphology. - Brings you up to date with the latest information in molecular and genetic testing, mechanisms of disease, personalized medicine and its impact on treatment of human diseases, the role of microbiome and metabolome in non-communicable diseases, and much more. - New to the edition from South Asia - Neoplasia • Infectious Diseases • Diseases of White Blood Cells, Lymph Nodes, Spleen, and Thymus • Red Blood Cell and Bleeding Disorders • The Lung • Head and Neck • The Gastrointestinal Tract • Liver and Gallbladder • The Kidney • The Breast • The Endocrine System • The Skin • The Central Nervous System • The Eye • Transfusion Medicine",http://books.google.com/books/content?id=awjgEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1494.0,Medicine and Surgery,Babcock University,hard_copy,5
Guyton and Hall Textbook of Medical Physiology,Not Specified,"The 13th edition of Guyton and Hall Textbook of Medical Physiology continues this bestselling title's long tradition as the world's foremost medical physiology textbook. Unlike other textbooks on this topic, this clear and comprehensive guide has a consistent, single-author voice and focuses on the content most relevant to clinical and pre-clinical students. The detailed but lucid text is complemented by didactic illustrations that summarize key concepts in physiology and pathophysiology. - Emphasizes core information around how the body must maintain homeostasis in order to remain healthy, while supporting information and examples are detailed. - Summary figures and tables help quickly convey key processes covered in the text. - Reflects the latest advances in molecular biology and cardiovascular, neurophysiology and gastrointestinal topics. - Bold full-color drawings and diagrams. - Short, easy-to-read, masterfully edited chapters and a user-friendly full-color design. - Clinical vignettes throughout the text all you to see core concepts applied to real-life situations. - Brand-new quick-reference chart of normal lab values on the inside back cover. - Increased number of figures, clinical correlations, and cellular and molecular mechanisms important for clinical medicine. - Student Consult eBook version included with purchase. This enhanced eBook experience includes the complete text, interactive figures, references, plus 50 self-assessment questions and more than a dozen animations.",http://books.google.com/books/content?id=krLSCQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1172.0,Medicine and Surgery,Covenant University,hard_copy,3
Goodman & Gilman's Pharmacological Basis of Therapeutics,Not Specified,"A Handbook of Critical Approaches to Literature, Sixth Edition, offers a valuable combination of theory and practice, introducing and applying the most useful contemporary approaches. Thoroughly updated and revised for this edition, the text presents a variety of ways to interpret a work,ranging from historical/biographical and moral/philosophical to feminisms and cultural studies. It applies these diverse approaches to the same six classic works - ""To His Coy Mistress,"" ""Young Goodman Brown,"" ""Everyday Use,"" Hamlet, Huckleberry Finn, and Frankenstein-showing how each approachproduces different types of insights.",http://books.google.com/books/content?id=NY1PAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.0,Medicine and Surgery,"Federal University of Technology, Owerri",soft_copy,3
Current Medical Diagnosis & Treatment,Not Specified,"This lively, practical text presents a fresh and comprehensive approach to doing qualitative research. The book offers a unique balance of theory and clear-cut choices for customizing every phase of a qualitative study. A scholarly mix of classic and contemporary studies from multiple disciplines provides compelling, field-based examples of the full range of qualitative approaches. Readers learn about adaptive ways of designing studies, collecting data, analyzing data, and reporting findings. Key aspects of the researcher's craft are addressed, such as fieldwork options, the five phases of data analysis (with and without using computer-based software), and how to incorporate the researcher's “declarative” and “reflective” selves into a final report. Ideal for graduate-level courses, the text includes:* Discussions of ethnography, grounded theory, phenomenology, feminist research, and other approaches.* Instructions for creating a study bank to get a new study started.* End-of-chapter exercises and a semester-long, field-based project.* Quick study boxes, research vignettes, sample studies, and a glossary.* Previews for sections within chapters, and chapter recaps.* Discussion of the place of qualitative research among other social science methods, including mixed methods research.",http://books.google.com/books/content?id=lyCGBeo8sI8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,369.0,Medicine and Surgery,University of Lagos,hard_copy,5
Davidson's Principles of Medicine,Not Specified,"This work will reveal why some people work less, earn more, pay less in taxes, and feel more financially secure than others.",http://books.google.com/books/content?id=2Lh7nQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Medicine and Surgery,Lead City University,hard_copy,4
Kumar and Clark's Clinical Medicine,Not Specified,"The ideal resource for researchers, theoreticians, and practitioners of curriculum; a ready reference for teachers, supervisors, and administrators who participate in curriculum making; and a widely popular text for courses in curriculum planning, development, implementation, and evaluation, this book presents a comprehensive, thoroughly documented, balanced overview of the foundations, principles, and issues of curriculum today. The information presented encourages readers to consider choices and then formulate their own views on curriculum.",http://books.google.com/books/content?id=pJ-rswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.0,Medicine and Surgery,University of Benin,hard_copy,3
Oxford Handbook of Clinical Medicine,Not Specified,"In the time since the second edition of The ACS Style Guide was published, the rapid growth of electronic communication has dramatically changed the scientific, technical, and medical (STM) publication world. This dynamic mode of dissemination is enabling scientists, engineers, and medicalpractitioners all over the world to obtain and transmit information quickly and easily. An essential constant in this changing environment is the requirement that information remain accurate, clear, unambiguous, and ethically sound.This extensive revision of The ACS Style Guide thoroughly examines electronic tools now available to assist STM writers in preparing manuscripts and communicating with publishers. Valuable updates include discussions of markup languages, citation of electronic sources, online submission ofmanuscripts, and preparation of figures, tables, and structures. In keeping current with the changing environment, this edition also contains references to many resources on the internet.With this wealth of new information, The ACS Style Guide's Third Edition continues its long tradition of providing invaluable insight on ethics in scientific communication, the editorial process, copyright, conventions in chemistry, grammar, punctuation, spelling, and writing style for any STMauthor, reviewer, or editor. The Third Edition is the definitive source for all information needed to write, review, submit, and edit scholarly and scientific manuscripts.",http://books.google.com/books/content?id=qNyxAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.0,Medicine and Surgery,"Federal University of Technology, Minna",soft_copy,4
Netter's Atlas of Human Anatomy,Not Specified,"For students and clinical professionals who are learning anatomy, participating in a dissection lab, sharing anatomy knowledge with patients, or refreshing their anatomy knowledge, the Netter Atlas of Human Anatomy illustrates the body, system by system, in clear, brilliant detail from a clinician's perspective. Unique among anatomy atlases, it contains illustrations that emphasize anatomic relationships that are most important to the clinician in training and practice. Illustrated by clinicians, for clinicians, it contains more than 550 exquisite plates plus dozens of carefully selected radiologic images for common views. - Presents world-renowned, superbly clear views of the human body from a clinical perspective, with paintings by Dr. Frank Netter as well as Dr. Carlos A. G. Machado, one of today's foremost medical illustrators. - Content guided by expert anatomists and educators: R. Shane Tubbs, Paul E. Neumann, Jennifer K. Brueckner-Collins, Martha Johnson Gdowski, Virginia T. Lyons, Peter J. Ward, Todd M. Hoagland, Brion Benninger, and an international Advisory Board. - Offers coverage newly organized by organ system, including muscle table appendices and quick reference notes on structures with high clinical significance in common clinical scenarios. - Contains new illustrations by Dr. Machado including clinically important areas such as the pelvic cavity, temporal and infratemporal fossae, nasal turbinates, and more. - Features new nerve tables devoted to the cranial nerves and the nerves of the cervical, brachial, and lumbosacral plexuses. - Uses updated terminology based on the international anatomic standard, Terminologia Anatomica, with common clinical eponyms included. - Provides access to extensive digital content: every plate in the Atlas?and over 100 bonus plates including illustrations from previous editions?is enhanced with an interactive label quiz option and supplemented with ""Plate Pearls"" that provide quick key points and supplemental tools for learning, reviewing, and assessing your knowledge of the major themes of each plate. Tools include over 300 multiple choice questions, videos, 3D models, and links to related plates. Own your own personal copy of the world-famous Netter Atlas of Human Anatomy! This well-loved title, now in 8th edition, is available in multiple options. Choose the one best for you: • Netter Atlas of Human Anatomy: A Systems Approach—Described above • Netter Atlas of Human Anatomy: Classic Regional Approach—Same content as the systems approach, but organized by body region • Netter Atlas of Human Anatomy: Classic Regional Approach with Latin terminology All options contain the same table information and same 550+ illustrated plates painted by clinician artists, Frank H. Netter, MD, and Carlos Machado, MD.",http://books.google.com/books/content?id=AyhgEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1171.0,Medicine and Surgery,Covenant University,soft_copy,5
Cecil Textbook of Medicine,Not Specified,"Millions of people throughout the world have improved their lives using The Magic of Thinking Big. Dr. David J. Schwartz, long regarded as one of the foremost experts on motivation, will help you sell better, manage better, earn more money, and -- most important of all -- find greater happiness and peace of mind. The Magic of Thinking Big gives you useful methods, not empty promises. Dr. Schwartz presents a carefully designed program for getting the most out of your job, your marriage and family life, and your community. He proves that you don't need to be an intellectual or have innate talent to attain great success and satisfaction -- but you do need to learn and understand the habit of thinking and behaving in ways that will get you there. This book gives you those secrets!",http://books.google.com/books/content?id=VaPNBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,320.0,Medicine and Surgery,"Federal University of Technology, Akure",soft_copy,3
Washington Manual of Medical Therapeutics,Not Specified,"In the time since the second edition of The ACS Style Guide was published, the rapid growth of electronic communication has dramatically changed the scientific, technical, and medical (STM) publication world. This dynamic mode of dissemination is enabling scientists, engineers, and medicalpractitioners all over the world to obtain and transmit information quickly and easily. An essential constant in this changing environment is the requirement that information remain accurate, clear, unambiguous, and ethically sound.This extensive revision of The ACS Style Guide thoroughly examines electronic tools now available to assist STM writers in preparing manuscripts and communicating with publishers. Valuable updates include discussions of markup languages, citation of electronic sources, online submission ofmanuscripts, and preparation of figures, tables, and structures. In keeping current with the changing environment, this edition also contains references to many resources on the internet.With this wealth of new information, The ACS Style Guide's Third Edition continues its long tradition of providing invaluable insight on ethics in scientific communication, the editorial process, copyright, conventions in chemistry, grammar, punctuation, spelling, and writing style for any STMauthor, reviewer, or editor. The Third Edition is the definitive source for all information needed to write, review, submit, and edit scholarly and scientific manuscripts.",http://books.google.com/books/content?id=qNyxAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.0,Medicine and Surgery,University of Benin,soft_copy,3
First Aid for the USMLE Step 1,Not Specified,"-- The most recognized medical review book for the USMLE Step 1 reviewed and written by students and physicians -- The only book published annually that incorporates valuable INSIDER information on the latest exam questions -- Over 34,000 students -- Exam is now computerized and can be taken at anytime -- no specific date for exam -- Includes valuable ""Zagats-like"" ratings guide to medical exam prep ratings",http://books.google.com/books/content?id=blxZwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.0,Medicine and Surgery,Landmark University,soft_copy,5
Artificial Intelligence: A Modern Approach,"Stuart Russell, Peter Norvig","Artificial intelligence: A Modern Approach, 3e,is ideal for one or two-semester, undergraduate or graduate-level courses in Artificial Intelligence. It is also a valuable resource for computer professionals, linguists, and cognitive scientists interested in artificial intelligence. The revision of this best-selling text offers the most comprehensive, up-to-date introduction to the theory and practice of artificial intelligence.",http://books.google.com/books/content?id=8jZBksh-bUMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1153.0,Artificial Intelligence and Robotics,"Federal University of Technology, Akure",soft_copy,3
Introduction to Autonomous Mobile Robots,"Roland Siegwart, Illah R. Nourbakhsh","The second edition of a comprehensive introduction to all aspects of mobile robotics, from algorithms to mechanisms. Mobile robots range from the Mars Pathfinder mission's teleoperated Sojourner to the cleaning robots in the Paris Metro. This text offers students and other interested readers an introduction to the fundamentals of mobile robotics, spanning the mechanical, motor, sensory, perceptual, and cognitive layers the field comprises. The text focuses on mobility itself, offering an overview of the mechanisms that allow a mobile robot to move through a real world environment to perform its tasks, including locomotion, sensing, localization, and motion planning. It synthesizes material from such fields as kinematics, control theory, signal analysis, computer vision, information theory, artificial intelligence, and probability theory. The book presents the techniques and technology that enable mobility in a series of interacting modules. Each chapter treats a different aspect of mobility, as the book moves from low-level to high-level details. It covers all aspects of mobile robotics, including software and hardware design considerations, related technologies, and algorithmic techniques. This second edition has been revised and updated throughout, with 130 pages of new material on such topics as locomotion, perception, localization, and planning and navigation. Problem sets have been added at the end of each chapter. Bringing together all aspects of mobile robotics into one volume, Introduction to Autonomous Mobile Robots can serve as a textbook or a working tool for beginning practitioners. Curriculum developed by Dr. Robert King, Colorado School of Mines, and Dr. James Conrad, University of North Carolina-Charlotte, to accompany the National Instruments LabVIEW Robotics Starter Kit, are available. Included are 13 (6 by Dr. King and 7 by Dr. Conrad) laboratory exercises for using the LabVIEW Robotics Starter Kit to teach mobile robotics concepts.",http://books.google.com/books/content?id=4of6AQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,473.0,Artificial Intelligence and Robotics,"University of Nigeria, Nsukka",hard_copy,4
Deep Learning,"Ian Goodfellow, Yoshua Bengio, Aaron Courville","An introduction to a broad range of topics in deep learning, covering mathematical and conceptual background, deep learning techniques used in industry, and research perspectives. “Written by three experts in the field, Deep Learning is the only comprehensive book on the subject.” —Elon Musk, cochair of OpenAI; cofounder and CEO of Tesla and SpaceX Deep learning is a form of machine learning that enables computers to learn from experience and understand the world in terms of a hierarchy of concepts. Because the computer gathers knowledge from experience, there is no need for a human computer operator to formally specify all the knowledge that the computer needs. The hierarchy of concepts allows the computer to learn complicated concepts by building them out of simpler ones; a graph of these hierarchies would be many layers deep. This book introduces a broad range of topics in deep learning. The text offers mathematical and conceptual background, covering relevant concepts in linear algebra, probability theory and information theory, numerical computation, and machine learning. It describes deep learning techniques used by practitioners in industry, including deep feedforward networks, regularization, optimization algorithms, convolutional networks, sequence modeling, and practical methodology; and it surveys such applications as natural language processing, speech recognition, computer vision, online recommendation systems, bioinformatics, and videogames. Finally, the book offers research perspectives, covering such theoretical topics as linear factor models, autoencoders, representation learning, structured probabilistic models, Monte Carlo methods, the partition function, approximate inference, and deep generative models. Deep Learning can be used by undergraduate or graduate students planning careers in either industry or research, and by software engineers who want to begin using deep learning in their products or platforms. A website offers supplementary material for both readers and instructors.",https://covers.openlibrary.org/b/id/8086288-L.jpg,801.0,Artificial Intelligence and Robotics,University of Port Harcourt,hard_copy,5
Robot Motion Planning and Control,Jean-Paul Laumond,Content Description #Includes bibliographical references.,http://books.google.com/books/content?id=qTdSAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,366.0,Artificial Intelligence and Robotics,University of Port Harcourt,hard_copy,4
Computer Vision: Algorithms and Applications,Richard Szeliski,"Computer Vision: Algorithms and Applications explores the variety of techniques commonly used to analyze and interpret images. It also describes challenging real-world applications where vision is being successfully used, both for specialized applications such as medical imaging, and for fun, consumer-level tasks such as image editing and stitching, which students can apply to their own personal photos and videos. More than just a source of “recipes,” this exceptionally authoritative and comprehensive textbook/reference also takes a scientific approach to basic vision problems, formulating physical models of the imaging process before inverting them to produce descriptions of a scene. These problems are also analyzed using statistical models and solved using rigorous engineering techniques. Topics and features: structured to support active curricula and project-oriented courses, with tips in the Introduction for using the book in a variety of customized courses; presents exercises at the end of each chapter with a heavy emphasis on testing algorithms and containing numerous suggestions for small mid-term projects; provides additional material and more detailed mathematical topics in the Appendices, which cover linear algebra, numerical techniques, and Bayesian estimation theory; suggests additional reading at the end of each chapter, including the latest research in each sub-field, in addition to a full Bibliography at the end of the book; supplies supplementary course material for students at the associated website, http://szeliski.org/Book/. Suitable for an upper-level undergraduate or graduate-level course in computer science or engineering, this textbook focuses on basic techniques that work under real-world conditions and encourages students to push their creative boundaries. Its design and exposition also make it eminently suitable as a unique reference to the fundamental techniques and current research literature in computer vision.",http://books.google.com/books/content?id=bXzAlkODwa8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,824.0,Artificial Intelligence and Robotics,Pan-Atlantic University,soft_copy,5
Reinforcement Learning: An Introduction,"Richard S. Sutton, Andrew G. Barto","The significantly expanded and updated new edition of a widely used text on reinforcement learning, one of the most active research areas in artificial intelligence. Reinforcement learning, one of the most active research areas in artificial intelligence, is a computational approach to learning whereby an agent tries to maximize the total amount of reward it receives while interacting with a complex, uncertain environment. In Reinforcement Learning, Richard Sutton and Andrew Barto provide a clear and simple account of the field's key ideas and algorithms. This second edition has been significantly expanded and updated, presenting new topics and updating coverage of other topics. Like the first edition, this second edition focuses on core online learning algorithms, with the more mathematical material set off in shaded boxes. Part I covers as much of reinforcement learning as possible without going beyond the tabular case for which exact solutions can be found. Many algorithms presented in this part are new to the second edition, including UCB, Expected Sarsa, and Double Learning. Part II extends these ideas to function approximation, with new sections on such topics as artificial neural networks and the Fourier basis, and offers expanded treatment of off-policy learning and policy-gradient methods. Part III has new chapters on reinforcement learning's relationships to psychology and neuroscience, as well as an updated case-studies chapter including AlphaGo and AlphaGo Zero, Atari game playing, and IBM Watson's wagering strategy. The final chapter discusses the future societal impacts of reinforcement learning.",http://books.google.com/books/content?id=sWV0DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,549.0,Artificial Intelligence and Robotics,Obafemi Awolowo University,soft_copy,4
Planning Algorithms,Steven M. LaValle,"Planning algorithms are impacting technical disciplines and industries around the world, including robotics, computer-aided design, manufacturing, computer graphics, aerospace applications, drug design, and protein folding. This coherent and comprehensive book unifies material from several sources, including robotics, control theory, artificial intelligence, and algorithms. The treatment is centered on robot motion planning, but integrates material on planning in discrete spaces. A major part of the book is devoted to planning under uncertainty, including decision theory, Markov decision processes, and information spaces, which are the 'configuration spaces' of all sensor-based planning problems. The last part of the book delves into planning under differential constraints that arise when automating the motions of virtually any mechanical system. This text and reference is intended for students, engineers, and researchers in robotics, artificial intelligence, and control theory as well as computer graphics, algorithms, and computational biology.",https://covers.openlibrary.org/b/id/359938-L.jpg,166.0,Artificial Intelligence and Robotics,Afe Babalola University,soft_copy,5
"Modern Robotics: Mechanics, Planning, and Control","Kevin M. Lynch, Frank C. Park","A modern and unified treatment of the mechanics, planning, and control of robots, suitable for a first course in robotics.",http://books.google.com/books/content?id=5NzFDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,545.0,Artificial Intelligence and Robotics,University of Jos,hard_copy,5
Introduction to Robotics: Mechanics and Control,John J. Craig,"Written for senior level or first year graduate level robotics courses, this text includes material from traditional mechanical engineering, control theoretical material and computer science. It includes coverage of rigid-body transformations and forward and inverse positional kinematics.",http://books.google.com/books/content?id=MqMeAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,416.0,Artificial Intelligence and Robotics,University of Ilorin,hard_copy,4
Robot Programming: A Guide to Controlling Autonomous Robots,"Cameron Hughes, Tracey Hughes","Start programming robots NOW! Learn hands-on, through easy examples, visuals, and code This is a unique introduction to programming robots to execute tasks autonomously. Drawing on years of experience in artificial intelligence and robot programming, Cameron and Tracey Hughes introduce the reader to basic concepts of programming robots to execute tasks without the use of remote controls. Robot Programming: A Guide to Controlling Autonomous Robots takes the reader on an adventure through the eyes of Midamba, a lad who has been stranded on a desert island and must find a way to program robots to help him escape. In this guide, you are presented with practical approaches and techniques to program robot sensors, motors, and translate your ideas into tasks a robot can execute autonomously. These techniques can be used on today’s leading robot microcontrollers (ARM9 and ARM7) and robot platforms (including the wildly popular low-cost Arduino platforms, LEGO® Mindstorms EV3, NXT, and Wowee RS Media Robot) for your hardware/Maker/DIY projects. Along the way the reader will learn how to: Program robot sensors and motors Program a robot arm to perform a task Describe the robot’s tasks and environments in a way that a robot can process using robot S.T.O.R.I.E.S. Develop a R.S.V.P. (Robot Scenario Visual Planning) used for designing the robot’s tasks in an environment Program a robot to deal with the “unexpected” using robot S.P.A.C.E.S. Program robots safely using S.A.R.A.A. (Safe Autonomous Robot Application Architecture) Approach Program robots using Arduino C/C++ and Java languages Use robot programming techniques with LEGO® Mindstorms EV3, Arduino, and other ARM7 and ARM9-based robots.",https://covers.openlibrary.org/b/id/8512517-L.jpg,735.0,Artificial Intelligence and Robotics,Bells University of Technology,soft_copy,3
Artificial Intelligence Engines,James V Stone,"Dive into the fundamentals of artificial intelligence engines, covering deep learning and its mathematical underpinnings. Practical examples and tutorials help bridge the gap between theoretical AI concepts and applications. Key Features Comprehensive breakdown of foundational and advanced AI algorithms with practical insights. Clear explanations of deep learning architectures, including GANs, autoencoders, and CNNs. Step-by-step guidance on implementing mathematical concepts in real-world AI applications. Book DescriptionThis book is a comprehensive guide to the mathematics behind artificial intelligence engines, taking readers from foundational concepts to advanced applications. It begins with an introduction to artificial neural networks, exploring topics like perceptrons, linear associative networks, and gradient descent. Practical examples accompany each chapter, making complex mathematical principles accessible, even for those with limited prior knowledge. The book's detailed structure covers key algorithms like backpropagation, Hopfield networks, and Boltzmann machines, advancing to deep restricted Boltzmann machines, variational autoencoders, and convolutional neural networks. Modern topics such as generative adversarial networks, reinforcement learning, and capsule networks are explored in depth. Each section connects theory to real-world AI applications, helping readers understand how these techniques are used in practice. Ideal for students, researchers, and AI enthusiasts, the book balances theoretical depth with practical insights. Basic mathematical knowledge or foundation is recommended, allowing readers to fully engage with the content. This book serves as an accessible yet thorough resource for anyone eager to dive deeper into artificial intelligence and machine learning.What you will learn Master the fundamentals of artificial neural networks effectively. Apply gradient descent techniques for training neural networks. Design perceptrons to solve classification and logic problems. Explore the mechanics of backpropagation in learning processes. Analyze Boltzmann machines for generative model applications. Examine reinforcement learning for decision-making scenarios. Who this book is for Students and professionals interested in artificial intelligence and machine learning will find this book an invaluable resource. A basic mathematical knowledge or foundation is recommended to follow the concepts effectively. Suitable for researchers, engineers, and AI enthusiasts aiming to strengthen their theoretical understanding while gaining practical implementation skills.",https://covers.openlibrary.org/b/id/11370106-L.jpg,217.0,Artificial Intelligence and Robotics,Obafemi Awolowo University,soft_copy,5
Handbook of Robotics,"Bruno Siciliano, Oussama Khatib","With the science of robotics undergoing a major transformation just now, Springer’s new, authoritative handbook on the subject couldn’t have come at a better time. Having broken free from its origins in industry, robotics has been rapidly expanding into the challenging terrain of unstructured environments. Unlike other handbooks that focus on industrial applications, the Springer Handbook of Robotics incorporates these new developments. Just like all Springer Handbooks, it is utterly comprehensive, edited by internationally renowned experts, and replete with contributions from leading researchers from around the world. The handbook is an ideal resource for robotics experts but also for people new to this expanding field.",https://covers.openlibrary.org/b/id/8509798-L.jpg,1626.0,Artificial Intelligence and Robotics,University of Ibadan,soft_copy,4
Neural Networks and Deep Learning,Michael Nielsen,"This book covers both classical and modern models in deep learning. The primary focus is on the theory and algorithms of deep learning. The theory and algorithms of neural networks are particularly important for understanding important concepts, so that one can understand the important design concepts of neural architectures in different applications. Why do neural networks work? When do they work better than off-the-shelf machine-learning models? When is depth useful? Why is training neural networks so hard? What are the pitfalls? The book is also rich in discussing different applications in order to give the practitioner a flavor of how neural architectures are designed for different types of problems. Deep learning methods for various data domains, such as text, images, and graphs are presented in detail. The chapters of this book span three categories: The basics of neural networks: The backpropagation algorithm is discussed in Chapter 2. Many traditional machine learning models can be understood as special cases of neural networks. Chapter 3 explores the connections between traditional machine learning and neural networks. Support vector machines, linear/logistic regression, singular value decomposition, matrix factorization, and recommender systems are shown to be special cases of neural networks. Fundamentals of neural networks: A detailed discussion of training and regularization is provided in Chapters 4 and 5. Chapters 6 and 7 present radial-basis function (RBF) networks and restricted Boltzmann machines. Advanced topics in neural networks: Chapters 8, 9, and 10 discuss recurrent neural networks, convolutional neural networks, and graph neural networks. Several advanced topics like deep reinforcement learning, attention mechanisms, transformer networks, Kohonen self-organizing maps, and generative adversarial networks are introduced in Chapters 11 and 12. The textbook is written for graduate students and upper under graduate level students. Researchers and practitioners working within this related field will want to purchase this as well. Where possible, an application-centric view is highlighted in order to provide an understanding of the practical uses of each class of techniques. The second edition is substantially reorganized and expanded with separate chapters on backpropagation and graph neural networks. Many chapters have been significantly revised over the first edition. Greater focus is placed on modern deep learning ideas such as attention mechanisms, transformers, and pre-trained language models.",http://books.google.com/books/content?id=0-rIEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,542.0,Artificial Intelligence and Robotics,University of Ibadan,hard_copy,4
Robot Builder's Bonanza,Gordon McComb,"The amateur robotics market is maturing every year There are even several companies that cater specifically to the hobbyist and educational market. With the advent of such organisations as FIRST and KISS robotics, it is the perfect time to release a new and clearly improved version of our powerhouse RBB. Key features Covers LEGO to legged robot construction plans to provide a scope from the raw beginner to the intermediate/advanced reader ALL projects are being revamped to be more usable, more customisable, and more visual -- with illustrations of the final product right at the beginning of the chapter Eliminates the outdated or ""out of tune"" chapters that don't appeal to current robot audiences UNPRECEDENTED author duo -- literally the two grand masters of the robotic world",https://covers.openlibrary.org/b/id/60742-L.jpg,770.0,Artificial Intelligence and Robotics,Afe Babalola University,soft_copy,3
